,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
449,GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,GENERAL TRIAS,With License,Level 1,50.0,14.396630499999999,120.8630382,,42108000,0
450,HCGC MEDICAL PLAZA HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Cavite,CARMONA,Without License,0,,14.313082000000001,121.054308,,42104000,0
451,"GREG HOSPITAL-SARIAYA, INC.",Private,,REGION IV-A (CALABAR ZON),Quezon,SARIAYA,With License,Level 1,20.0,13.963006,121.52259709999998,,45645000,0
452,GUINAYANGAN MEDICARE COMMUNITY HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,GUINAYANGAN,With License,Level 1,15.0,13.925006900000001,122.4268174,,45618000,0
453,H.M. CORACHEA GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,TANAUAN,With License,Level 1,38.0,14.082096400000001,121.14583190000002,,41031000,0
454,HOSPITAL DE SAN JUAN BAUTISTA,Private, ,REGION IV-A (CALABAR ZON),Batangas,LIAN,Without License,0,,14.033970000000002,120.649874,,41013000,0
455,JESUS THE SAVIOR HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Laguna,SANTA CRUZ,Without License,0,,14.6496714,121.0270395,,43426000,0
456,KAWIT KALAYAAN HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Cavite,KAWIT,With License,Level 1,25.0,14.416919199999999,120.89860459999998,,42111000,0
457,LAGUNA PROVINCIAL HOSPITAL - SAN PABLO CITY DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,SAN PABLO,With License,Level 2,100.0,14.0728641,121.32874540000002,,43424000,0
458,LOBO MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,LOBO,With License,Level 1,14.0,13.643098499999999,121.2023547,,41015000,0
459,MAGSAYSAY MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,LOPEZ,With License,Level 1,75.0,13.886097099999999,122.2639368,,45622000,0
460,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,Private,,REGION IV-A (CALABAR ZON),Quezon,LOPEZ,With License,Level 1,65.0,13.887750199999997,122.2678408,,45622000,0
461,LUCBAN MMG HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,LUCBAN,With License,Level 1,30.0,14.106528299999999,121.568771,,45623000,0
462,LUCENA UNITED DOCTORS HOSPITAL AND MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Quezon,LUCENA,With License,Level 2,97.0,13.947331,121.58528799999999,,45624000,0
463,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,ROSARIO,With License,Level 1,30.0,13.844590900000002,121.19720339999999,,41021000,0
464,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,MAJAYJAY,With License,Level 1,15.0,14.151673800000001,121.4597368,,43416000,0
465,MARTIN MARASIGAN MEMORIAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,CUENCA,With License,Level 1,25.0,13.9008821,121.0534013,,41009000,0
466,METRO RIZAL DOCTORS HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,,REGION IV-A (CALABAR ZON),Rizal,CAINTA,With License,Level 1,28.0,14.582777499999999,121.11412720000001,,45805000,0
467,METRO LEMERY MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LEMERY,With License,Level 2,72.0,13.8875292,120.91151809999998,,41012000,0
468,METRO LIPA MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 2,48.0,13.9684328,121.166647,,41014000,0
469,MOLINO DOCTORS HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 1,38.0,14.410255,120.9759893,,42103000,0
470,MORONG DOCTORS HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Rizal,MORONG,With License,Level 1,25.0,14.514303,121.23941299999998,,45809000,0
471,LAGUNA PROVINCIAL HOSPITAL - NAGCARLAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,NAGCARLAN,With License,Level 1,25.0,14.133980800000002,121.4163166,,43417000,0
472,"OUR SAVIOR HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Cavite,ROSARIO,With License,Level 1,30.0,14.414269500000001,120.856444,,42117000,0
473,PAG-ASA HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Rizal,BINANGONAN,With License,Level 1,27.0,14.520663,121.156304,,45804000,0
474,"PETER PAUL MEDICAL CENTER OF CANDELARIA, INC.",Private,,REGION IV-A (CALABAR ZON),Quezon,CANDELARIA,With License,Level 2,60.0,13.926437900000002,121.42352209999999,,45608000,0
475,"PRIME GLOBAL CARE MEDICAL CENTER, INC.",Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 1,12.0,14.397975299999999,120.9744575,,42103000,0
476,"SAN JOSE HOSPITAL AND MEDICAL CENTER, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 1,42.0,14.2118271,121.12823020000002,,43405000,0
477,"SAN PEDRO DOCTORS HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,SAN PEDRO,With License,Level 1,27.0,14.348862699999998,121.06491899999999,,43425000,0
478,SSMC SATELLITE HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Cavite,GENERAL TRIAS,Without License,0,,14.413831,120.85738700000002,,42108000,0
479,ST. ANDREW HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,TALISAY,With License,Level 1,25.0,14.0933462,121.02595759999998,,41030000,0
480,ST. CLEMENT MEDICAL CLINIC,Private, ,REGION IV-A (CALABAR ZON),Laguna,ALAMINOS,Without License,0,,14.0644452,121.245208,,43401000,0
481,"ST. DOMINIC MEDICAL CENTER, INC.",Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 2,100.0,14.4593866,120.96048689999999,,42103000,0
482,"ST. JAMES HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,SANTA ROSA,With License,Level 2,80.0,14.280865799999999,121.1201108,,43428000,0
483,ST. JAMES THE GREATER HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,IBAAN,Without License,0,,13.8168798,121.1319459,,41010000,0
484,ST. MARTIN MATERNITY AND PEDIATRIC HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,NOVELETA,With License,Level 1,50.0,14.4256788,120.873944,,42116000,0
485,ST. NAZARIUS MEDICAL CLINIC,Private, ,REGION IV-A (CALABAR ZON),Batangas,MALVAR,Without License,0,,14.0444119,121.15824779999998,,41017000,0
486,CALAUAG ST. PETER GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,CALAUAG,With License,Level 1,40.0,13.957709900000001,122.2860594,,45607000,0
487,SAINT VINCENT DE PAUL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,SANTO TOMAS,With License,Level 1,15.0,14.107309900000002,121.1428136,,41028000,0
488,"SANTA CRUZ LAGUNA POLYMEDIC, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,SANTA CRUZ,With License,Level 1,12.0,14.2678563,121.419843,,43426000,0
489,SANTA ROSA HOSPITAL AND MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Laguna,SANTA ROSA,With License,Level 2,99.0,14.287063,121.09553000000001,,43428000,0
490,STO. NIÑO MEDICAL CLINIC,Private, ,REGION IV-A (CALABAR ZON),Batangas,CUENCA,Without License,0,,13.917656,121.044652,,41009000,0
491,"STO. ROSARIO HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Batangas,ROSARIO,With License,Level 1,50.0,13.8457744,121.20411599999998,,41021000,0
492,UNTALAN GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,ROSARIO,With License,Level 1,12.0,13.845264499999999,121.20633570000001,,41021000,0
493,GUMACA DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,GUMACA,With License,Level 1,75.0,13.9330624,122.0898575,,45619000,0
494,GAMEZ HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 1,12.0,14.194,121.148,,43405000,0
495,THE MEDICAL CITY SOUTH LUZON,Private,,REGION IV-A (CALABAR ZON),Laguna,SANTA ROSA,With License,Level 2,100.0,14.248464199999999,121.06722579999999,,43428000,0
496,LIPA CITY DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 1,75.0,13.933554500000001,121.158891,,41014000,0
497,"IMMACULATE CONCEPCION HOSPITAL OF SAN PABLO CITY, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,SAN PABLO,With License,Level 1,25.0,14.0691033,121.3223674,,43424000,0
498,"JANE COUNTY HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Quezon,PAGBILAO,With License,Level 1,12.0,13.970822,121.6825461,,45630000,0
499,LEMERY DOCTORS MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LEMERY,With License,Level 2,40.0,13.8770024,120.91536709999998,,41012000,0
500,ANDRESS BONIFACIO MEMORIAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Cavite,TRECE MARTIRES,Without License,0,,14.2405807,120.8798969,,42122000,0
501,BAUAN GENERAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,BAUAN,With License,Level 1,45.0,13.787258,121.009327,,41006000,0
502,SAN JOSE DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,SAN JOSE,With License,Level 1,25.0,13.886524,121.104883,,41022000,0
503,MOUNT CARMEL DIOCESAN GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,LUCENA,With License,Level 2,178.0,13.940801800000001,121.61111729999999,,45624000,0
504,SALAZAR POLYCLINIC,Private,,REGION IV-A (CALABAR ZON),Batangas,LEMERY,With License,Level 1,15.0,13.929860000000001,120.875952,,41012000,0
505,RIZAL PROVINCIAL HOSPITAL SYSTEM - MORONG MAIN,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Rizal,MORONG,With License,Level 1,100.0,14.516535999999999,121.239218,,45809000,0
506,H-VILL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Rizal,RODRIGUEZ,With License,Level 1,60.0,14.7267362,121.14303229999999,,45808000,0
507,SAN DIEGO DE ALCALA GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,GUMACA,With License,Level 1,20.0,13.9211991,122.1009629,,45619000,0
508,C.P. REYES HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,TANAUAN,With License,Level 2,137.0,14.0844253,121.1495092,,41031000,0
509,SAN JUAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,SAN JUAN,With License,Level 1,25.0,13.8094815,121.40119070000001,,41023000,0
510,MEDICAL CENTER IMUS,Private,,REGION IV-A (CALABAR ZON),Cavite,IMUS,With License,Level 2,90.0,14.426003099999999,120.9463991,,42109000,0
511,"SAN JUAN DOCTORS HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Batangas,SAN JUAN,With License,Level 1,28.0,13.826990300000002,121.41034850000001,,41023000,0
512,VELAZCO HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,SILANG,With License,Level 1,25.0,14.234481500000001,120.97676750000001,,42118000,0
513,COMMUNITY GENERAL HOSPITAL OF SAN PABLO CITY,Private,,REGION IV-A (CALABAR ZON),Laguna,SAN PABLO,With License,Level 2,99.0,14.073024100000001,121.3129027,,43424000,0
514,BATANGAS MEDICAL CENTER,Government,Department Of Health,REGION IV-A (CALABAR ZON),Batangas,BATANGAS,With License,Level 3,400.0,13.7668617,121.0663041,,41005000,0
515,BAUTISTA HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,CAVITE,With License,Level 2,60.0,14.477231900000001,120.89200100000001,,42105000,0
516,ZIGZAG HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,MABINI,Without License,0,,13.7555853,120.94544199999999,,41016000,0
517,SANTA ROSA COMMUNITY HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,SANTA ROSA,With License,Level 1,83.0,14.318741000000001,121.110977,,43428000,0
518,ST. MARTIN GENERAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,LEMERY,Without License,0,,13.885477400000001,120.9128094,,41012000,0
519,"ANGONO MEDICS HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Rizal,ANGONO,With License,Level 1,87.0,14.531259,121.152869,,45801000,0
520,STO. NIÑO DE TANZA MEDICAL AND DIAGNOSTIC CENTER,Private, ,REGION IV-A (CALABAR ZON),Cavite,TANZA,Without License,0,,14.391204,120.85282600000001,,42120000,0
521,OUR LADY OF CAYSASAY MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LEMERY,With License,Level 2,100.0,13.8812405,120.91544040000001,,41012000,0
522,QUEEN MARY HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,IBAAN,With License,Level 1,15.0,13.821464,121.13371699999999,,41010000,0
523,FERNANDO AIR BASE HOSPITAL,Government,Department of National Defense,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 1,70.0,13.946857000000001,121.127183,,41014000,0
524,SILVA'S CLINIC,Private, ,REGION IV-A (CALABAR ZON),Batangas,TANAUAN,Without License,0,,14.0820867,121.1488229,,41031000,0
525,METRO SOUTH MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 2,50.0,14.3738256,120.9797643,,42103000,0
526,QUEEN MARY HELP OF CHRISTIAN HOSPITAL INC.,Private,,REGION IV-A (CALABAR ZON),Rizal,CARDONA,With License,Level 1,48.0,14.490884,121.23405,,45806000,0
527,BONDOC PENINSULA DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,CATANAUAN,With License,Level 1,25.0,13.591756,122.3251007,,45610000,0
528,UNIVERSITY HEALTH SERVICE,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,LOS BAÑOS,With License,Level 1,30.0,14.1622147,121.2386946,,43411000,0
529,HEALTHSERV LOS BAÑOS MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Laguna,LOS BAÑOS,With License,Level 2,78.0,14.1788568,121.2413943,,43411000,0
530,LUCENA MMG GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,LUCENA,With License,Level 2,95.0,13.944977,121.63091499999999,,45624000,0
531,MANILA EAST MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Rizal,TAYTAY,With License,Level 2,99.0,14.517795800000002,121.15880390000001,,45813000,0
532,SOLOMONS CLINIC,Private, ,REGION IV-A (CALABAR ZON),Batangas,SAN JUAN,Without License,0,,13.8255007,121.3941794,,41023000,0
533,HOLY ROSARY HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Quezon,LOPEZ,With License,Level 1,60.0,13.8736423,122.26298329999999,,45622000,0
534,"IMUS FAMILY HOSPITAL,INC.",Private,,REGION IV-A (CALABAR ZON),Cavite,IMUS,With License,Level 1,15.0,14.432502,120.94631000000001,,42109000,0
535,CENTRAL AZUCARRERA DON PEDRO HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,NASUGBU,With License,Level 1,20.0,14.052270000000002,120.6625246,,41019000,0
536,CAVITE NAVAL HOSPITAL,Government,Department of National Defense,REGION IV-A (CALABAR ZON),Cavite,CAVITE,With License,Level 1,100.0,14.482262,120.9166217,,42105000,0
537,"BLESSED TRINITY MATERNITY AND MEDICAL HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Rizal,ANTIPOLO,With License,Level 1,24.0,14.624604399999999,121.12570520000001,,45802000,0
538,CAVITE MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Cavite,CAVITE,With License,Level 2,60.0,14.4633367,120.88181840000001,,42105000,0
539,CALAMBA DOCTORS' HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 2,120.0,14.217535,121.14219140000002,,43405000,0
540,EMILIO AGUINALDO COLLEGE MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Cavite,DASMARIÑAS,With License,Level 2,154.0,14.3486249,120.9397007,,42106000,0
541,KAWIT MATERNITY AND GENERAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Cavite,KAWIT,Without License,0,,14.446587,120.9060726,,42111000,0
542,"SAN ANTONIO MEDICAL CENTER OF LIPA, INC.",Private,,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 2,25.0,13.9422655,121.1650712,,41014000,0
543,ST. MICHAEL MEDICAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 1,48.0,14.4095705,120.97675659999999,,42103000,0
544,SAN FRANCISCO MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,SAN FRANCISCO,With License,Level 1,10.0,13.3521079,122.5217521,,45642000,0
545,N.L. VILLA MEMORIAL MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 2,99.0,13.938799900000001,121.16543670000001,,41014000,0
546,SAN PEDRO JOSE L. AMANTE EMERGENCY HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,SAN PEDRO,With License,Level 1,12.0,14.364995,121.055953,,43425000,0
547,ST. NICHOLAS DOCTORS HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,SAN NICOLAS,Without License,0,,18.1470823,120.58546740000001,,41025000,0
548,SAINT PATRICK'S HOSPITAL MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,BATANGAS,With License,Level 3,100.0,13.7555318,121.060235,,41005000,0
549,SANTO TOMAS MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,SANTO TOMAS,Without License,0,,14.1081267,121.14168259999998,,41028000,0
550,GENERAL EMILIO AGUINALDO MEMORIAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Cavite,TRECE MARTIRES,With License,Level 3,284.0,14.2759968,120.8697399,,42122000,0
551,LAGUNA PROVINCIAL HOSPITAL - GEN. J. CAILLES MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,PAKIL,With License,Level 1,50.0,14.385437099999999,121.4781991,,43420000,0
552,QUEZON MEDICAL CENTER,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,LUCENA,With License,Level 2,200.0,13.942184699999999,121.61246750000001,,45624000,0
553,SORIANO-LEYBLE MEDICAL AND MATERNITY HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Rizal,ANTIPOLO,Without License,0,,14.588398999999999,121.177225,,45802000,0
554,ST. JUDE FAMILY HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,LOS BAÑOS,With License,Level 1,35.0,14.173410999999998,121.24350919999999,,43411000,0
555,PAMANA MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 1,35.0,14.1983573,121.1615578,,43405000,0
556,SSMC SATELLITE HOSPITAL - ROSARIO BRANCH,Private, ,REGION IV-A (CALABAR ZON),Cavite,ROSARIO,Without License,0,,14.413816699999998,120.857395,,42117000,0
557,PAGSANJAN MEDICAL CLINIC AND GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,PAGSANJAN,With License,Level 1,25.0,14.272321900000001,121.4557752,,43419000,0
558,DE LA SALLE UNIVERSITY MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Cavite,DASMARIÑAS,With License,Level 3,250.0,14.327174,120.943408,,42106000,0
559,"NAIC DOCTORS HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Cavite,NAIC,With License,Level 1,30.0,14.3144955,120.7710023,,42115000,0
560,"ST. FRANCES CABRINI MEDICAL CENTER, INC.",Private,,REGION IV-A (CALABAR ZON),Batangas,SANTO TOMAS,With License,Level 2,100.0,14.1090533,121.1457749,,41028000,0
561,FIRST FILIPINO SAINT HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,NAIC,With License,Level 1,40.0,14.3082789,120.80163759999999,,42115000,0
562,"ST. ANNE GENERAL HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Quezon,LUCENA,With License,Level 2,80.0,13.937568599999999,121.61868249999999,,45624000,0
563,PALMA-MALALUAN HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,ROSARIO,With License,Level 1,25.0,13.8442524,121.20478020000002,,41021000,0
564,TUY GENERAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,TUY,Without License,0,,14.019668900000001,120.7297415,,41034000,0
565,"ST. MATTHEUS MEDICAL HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Rizal,SAN MATEO,With License,Level 1,50.0,14.673783499999999,121.10983119999999,,45811000,0
566,SAN NARCISO MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,SAN NARCISO,With License,Level 1,10.0,13.5702,122.563493,,45644000,0
567,SANTO TOMAS GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,SANTO TOMAS,With License,Level 1,18.0,14.09826,121.147259,,41028000,0
568,CATALAN MEDICAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Cavite,CARMONA,Without License,0,,14.311926000000001,121.054378,,42104000,0
569,"ST. JOHN THE BAPTIST MEDICAL CENTER, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 1,35.0,14.2119032,121.156952,,43405000,0
570,E. CONTRERAS MEDICAL CLINIC,Private,,REGION IV-A (CALABAR ZON),Cavite,ROSARIO,With License,Level 1,24.0,14.413328699999997,120.8575742,,42117000,0
571,MARY MEDIATRIX MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,LIPA,With License,Level 3,200.0,13.943957399999999,121.15226329999999,,41014000,0
572,SAN ISIDRO HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Rizal,ANGONO,With License,Level 1,20.0,14.525732999999999,121.15323000000001,,45801000,0
573,"UNCIANO COLLEGES AND GENERAL HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Rizal,ANTIPOLO,With License,Level 2,100.0,14.580169,121.1715139,,45802000,0
574,UNISAN MEDICARE COMMUNITY HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,UNISAN,With License,Level 1,10.0,13.843291,121.97318899999999,,45649000,0
575,YNARES MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Rizal,JALAJALA,With License,Level 1,10.0,14.3620958,121.32966189999999,,45807000,0
576,TAAL POLYMEDIC HOSPITAL AND MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Batangas,TAAL,With License,Level 2,40.0,13.88594,120.9418996,,41029000,0
577,ALABAT ISLAND DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,ALABAT,With License,Level 1,25.0,14.1018247,122.01467720000001,,45602000,0
578,PAETE GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,PAETE,With License,Level 1,15.0,14.355685500000002,121.4843274,,43418000,0
579,LOS BAÑOS DOCTORS HOSPITAL AND MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Laguna,LOS BAÑOS,With License,Level 2,80.0,14.170873199999999,121.24316529999999,,43411000,0
580,TANZA FAMILY GENERAL HOSPITAL AND PHARMACY,Private,,REGION IV-A (CALABAR ZON),Cavite,TANZA,With License,Level 1,30.0,14.390294,120.84910190000001,,42120000,0
